Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-14 11:39:38,3.48,0.88,32.28,Discharging
2023-11-14 11:39:49,3.48,0.88,32.27,Discharging
2023-11-14 11:40:00,3.48,0.91,32.03,Discharging
2023-11-14 11:40:11,3.47,3.08,29.94,Discharging
2023-11-14 11:40:23,3.47,3.35,30.09,Discharging
2023-11-14 11:40:34,3.47,2.5,30.1,Discharging
2023-11-14 11:40:45,3.45,2.67,29.78,Discharging
2023-11-14 11:40:56,3.59,2.6,32.45,Discharging
2023-11-14 11:41:07,4.13,2.31,42.52,Discharging
2023-11-14 11:41:18,4.2,2.57,44.03,Discharging
2023-11-14 11:41:30,4.35,2.5,47.02,Discharging
2023-11-14 11:41:41,3.65,2.46,33.36,Discharging
2023-11-14 11:41:52,3.59,2.07,32.52,Discharging
2023-11-14 11:42:03,3.59,2.04,32.34,Discharging
2023-11-14 11:42:14,3.58,0.96,33.82,Discharging
2023-11-14 11:42:25,3.58,1.06,33.4,Discharging
