Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-15 21:07:45,2.64,0.55,24.39,Discharging
2023-11-15 21:07:33,2.65,0.55,24.48,Discharging
2023-11-15 21:07:22,2.65,0.56,24.3,Discharging
2023-11-15 21:07:11,2.66,0.56,24.51,Discharging
2023-11-15 21:07:00,2.67,0.55,24.31,Discharging
2023-11-15 21:06:49,2.68,0.54,24.54,Discharging
2023-11-15 21:06:38,2.68,0.56,24.37,Discharging
2023-11-15 21:06:27,2.69,0.56,24.23,Discharging
2023-11-15 21:06:16,2.7,0.55,24.41,Discharging
2023-11-15 21:06:04,2.7,0.55,24.31,Discharging
2023-11-15 21:05:53,2.71,0.56,24.36,Discharging
2023-11-15 21:05:42,2.71,0.55,24.34,Discharging
2023-11-15 21:05:31,2.72,0.54,24.54,Discharging
2023-11-15 21:05:20,2.73,0.55,24.27,Discharging
2023-11-15 21:05:09,2.73,0.55,24.41,Discharging
2023-11-15 21:04:58,2.74,0.55,24.35,Discharging
2023-11-15 21:04:47,2.74,0.54,24.33,Discharging
2023-11-15 21:04:36,2.75,0.55,24.4,Discharging
2023-11-15 21:04:24,2.75,0.55,24.42,Discharging
2023-11-15 21:04:13,2.75,0.55,24.39,Discharging
2023-11-15 21:04:02,2.76,0.56,24.44,Discharging
2023-11-15 21:03:51,2.76,0.56,24.48,Discharging
2023-11-15 21:03:40,2.77,0.56,24.4,Discharging
2023-11-15 21:03:29,2.77,0.55,24.42,Discharging
2023-11-15 21:03:18,2.78,0.56,24.41,Discharging
2023-11-15 21:03:07,2.78,0.56,24.46,Discharging
2023-11-15 21:02:55,2.79,0.55,24.38,Discharging
2023-11-15 21:02:44,2.79,0.55,24.33,Discharging
2023-11-15 21:02:33,2.8,0.55,24.38,Discharging
2023-11-15 21:02:22,2.8,0.55,24.38,Discharging
2023-11-15 21:02:11,2.8,0.56,24.25,Discharging
2023-11-15 21:02:00,2.81,0.55,24.29,Discharging
2023-11-15 21:01:49,2.81,0.56,24.28,Discharging
2023-11-15 21:01:38,2.82,0.56,24.22,Discharging
2023-11-15 21:01:27,2.82,0.55,24.42,Discharging
2023-11-15 21:01:15,2.82,0.55,24.44,Discharging
2023-11-15 21:01:04,2.83,0.55,24.29,Discharging
2023-11-15 21:00:53,2.83,0.55,24.46,Discharging
2023-11-15 21:00:42,2.83,0.56,24.31,Discharging
2023-11-15 21:00:31,2.84,0.55,24.46,Discharging
2023-11-15 21:00:20,2.84,0.56,24.36,Discharging
2023-11-15 21:00:09,2.84,0.54,24.2,Discharging
2023-11-15 20:59:58,2.85,0.55,24.44,Discharging
2023-11-15 20:59:46,2.85,0.55,24.45,Discharging
2023-11-15 20:59:35,2.85,0.55,24.22,Discharging
2023-11-15 20:59:24,2.86,0.55,24.42,Discharging
2023-11-15 20:59:13,2.86,0.55,24.18,Discharging
2023-11-15 20:59:02,2.86,0.56,24.34,Discharging
2023-11-15 20:58:51,2.87,0.55,24.4,Discharging
2023-11-15 20:58:40,2.87,0.55,24.35,Discharging
2023-11-15 20:58:29,2.87,0.55,24.29,Discharging
2023-11-15 20:58:18,2.88,0.56,24.29,Discharging
2023-11-15 20:58:06,2.88,0.56,24.5,Discharging
2023-11-15 20:57:55,2.88,0.56,24.26,Discharging
2023-11-15 20:57:44,2.88,0.55,24.37,Discharging
2023-11-15 20:57:33,2.88,0.55,24.26,Discharging
2023-11-15 20:57:22,2.89,0.55,24.42,Discharging
2023-11-15 20:57:11,2.89,0.55,24.45,Discharging
2023-11-15 20:57:00,2.89,0.56,24.49,Discharging
2023-11-15 20:56:49,2.89,0.56,24.4,Discharging
2023-11-15 20:56:37,2.89,0.56,24.44,Discharging
2023-11-15 20:56:26,2.9,0.56,24.51,Discharging
2023-11-15 20:56:15,2.9,0.57,24.53,Discharging
2023-11-15 20:56:04,2.91,0.52,24.45,Discharging
2023-11-15 20:55:53,2.9,0.58,24.71,Discharging
2023-11-15 20:55:42,2.9,0.56,24.42,Discharging
2023-11-15 20:55:31,2.9,0.6,24.24,Discharging
2023-11-15 20:55:20,2.9,0.58,24.08,Discharging
2023-11-15 20:55:09,2.9,0.57,24.31,Discharging
2023-11-15 20:54:57,2.9,0.58,24.3,Discharging
2023-11-15 20:54:46,2.9,0.57,24.36,Discharging
2023-11-15 20:54:35,2.89,0.57,24.42,Discharging
2023-11-15 20:54:24,2.75,2.33,24.59,Discharging
2023-11-15 20:54:13,2.79,2.02,23.99,Discharging
2023-11-15 20:54:02,2.8,2,23.95,Discharging
2023-11-15 20:53:51,2.82,1.95,23.86,Discharging
2023-11-15 20:53:40,2.8,2.3,24.4,Discharging
2023-11-15 20:53:28,2.82,2.27,24.45,Discharging
2023-11-15 20:53:17,2.87,2.08,24.01,Discharging
2023-11-15 20:53:06,2.86,2.21,24.33,Discharging
2023-11-15 20:52:55,2.95,1.14,23.33,Discharging
2023-11-15 20:52:44,2.97,0.92,23.46,Discharging
2023-11-15 20:52:33,2.99,0.81,23.54,Discharging
2023-11-15 20:52:22,3,0.56,24.21,Discharging
2023-11-15 20:52:11,2.85,2.67,24.99,Discharging
2023-11-15 20:52:00,3,0.64,23.74,Discharging
2023-11-15 20:51:48,2.92,2.24,24.79,Discharging
2023-11-15 20:51:37,3.02,0.58,24.33,Discharging
2023-11-15 20:51:26,3,0.79,23.7,Discharging
2023-11-15 20:51:15,3.01,0.71,23.83,Discharging
2023-11-15 20:51:04,2.85,2.59,23.78,Discharging
2023-11-15 20:50:53,3,0.75,23.52,Discharging
2023-11-15 20:50:42,2.98,0.78,23.28,Discharging
2023-11-15 20:50:31,2.87,2.58,24.53,Discharging
2023-11-15 20:50:20,2.91,2.27,24.11,Discharging
2023-11-15 20:50:08,2.96,1.75,22.97,Discharging
2023-11-15 20:49:57,2.97,1.7,23.04,Discharging
2023-11-15 20:49:46,3.05,0.79,23.22,Discharging
2023-11-15 20:49:35,3.06,0.7,23.69,Discharging
2023-11-15 20:49:24,3.06,0.7,23.38,Discharging
2023-11-15 20:49:13,3.06,0.7,23.3,Discharging
2023-11-15 20:49:02,3.06,0.72,23.53,Discharging
2023-11-15 20:48:51,3.06,0.71,23.43,Discharging
2023-11-15 20:48:39,3.06,0.71,23.53,Discharging
2023-11-15 20:48:28,3.07,0.71,23.48,Discharging
2023-11-15 20:48:17,3.07,0.7,23.33,Discharging
2023-11-15 20:48:06,3.07,0.7,23.58,Discharging
2023-11-15 20:47:55,3.07,0.71,23.29,Discharging
2023-11-15 20:47:44,3.07,0.7,23.48,Discharging
2023-11-15 20:47:33,3.07,0.72,23.42,Discharging
2023-11-15 20:47:22,3.08,0.71,23.36,Discharging
2023-11-15 20:47:11,3.08,0.71,23.12,Discharging
2023-11-15 20:46:59,3.08,0.72,23.37,Discharging
2023-11-15 20:46:48,3.08,0.72,23.35,Discharging
2023-11-15 20:46:37,3.08,0.72,23.3,Discharging
